Organization,Repository_Name,Language,Visibility,Repository_Size_KB,Stars,Forks,Open_Issues,Created_Date,Updated_Date,Default_Branch,Repository_URL
microsoft,optical-reader,C#,public,929,36,26,2,2014-01-13T13:17:43Z,2026-04-21T04:12:59Z,master,https://github.com/microsoft/optical-reader
microsoft,lens-blur,C#,public,17219,20,14,2,2014-01-23T13:28:11Z,2025-11-25T19:25:03Z,master,https://github.com/microsoft/lens-blur
microsoft,azure-cookbook,Ruby,public,152,18,12,2,2014-01-30T20:06:52Z,2025-11-25T19:27:43Z,master,https://github.com/microsoft/azure-cookbook
microsoft,lis-test,PowerShell,public,9280,33,76,3,2014-01-30T22:27:13Z,2025-11-25T19:27:42Z,master,https://github.com/microsoft/lis-test
microsoft,nokia-x-notifications-samples,Java,public,490,27,24,0,2014-02-12T07:22:04Z,2026-07-08T18:41:09Z,master,https://github.com/microsoft/nokia-x-notifications-samples
microsoft,nokia-x-in-app-payment-samples,Java,public,1879,14,8,0,2014-02-12T07:23:37Z,2025-11-25T19:29:21Z,master,https://github.com/microsoft/nokia-x-in-app-payment-samples
microsoft,simple-filter-mixer,C#,public,31667,14,13,0,2014-02-13T13:25:40Z,2024-01-27T17:44:14Z,master,https://github.com/microsoft/simple-filter-mixer
microsoft,places,C#,public,12179,16,16,0,2014-03-13T13:09:08Z,2023-09-26T18:26:02Z,master,https://github.com/microsoft/places
microsoft,opencv,C++,public,533129,141,91,21,2014-03-18T20:41:11Z,2026-06-10T06:12:26Z,master,https://github.com/microsoft/opencv
microsoft,tracks,C#,public,6802,14,16,3,2014-03-19T14:00:48Z,2023-01-28T10:36:26Z,master,https://github.com/microsoft/tracks
microsoft,cordova-plugin-websql,C#,public,1624,62,41,21,2014-03-25T02:47:33Z,2025-11-25T19:29:27Z,master,https://github.com/microsoft/cordova-plugin-websql
microsoft,image-sequencer,C#,public,17646,31,16,0,2014-04-01T11:06:55Z,2024-09-03T14:11:07Z,master,https://github.com/microsoft/image-sequencer
microsoft,msphpsql,PHP,public,90431,1884,385,14,2014-04-22T19:54:12Z,2026-07-29T03:23:01Z,dev,https://github.com/microsoft/msphpsql
microsoft,cordova-plugin-indexedDB,JavaScript,public,223,65,16,11,2014-05-06T16:48:48Z,2025-11-25T19:28:30Z,master,https://github.com/microsoft/cordova-plugin-indexedDB
microsoft,PowerShell-DSC-for-Linux,C,public,517957,339,130,129,2014-05-19T02:18:59Z,2026-04-02T17:43:44Z,master,https://github.com/microsoft/PowerShell-DSC-for-Linux
microsoft,packer-hyperv,Go,public,89978,82,32,5,2014-05-20T20:38:46Z,2025-11-25T19:29:08Z,master,https://github.com/microsoft/packer-hyperv
microsoft,Azure-DDP,PowerShell,public,590,20,14,0,2014-06-05T15:32:27Z,2025-11-25T19:24:35Z,master,https://github.com/microsoft/Azure-DDP
microsoft,microsoft.github.io,HTML,public,402,2600,484,0,2014-06-11T12:01:31Z,2026-08-03T07:42:05Z,main,https://github.com/microsoft/microsoft.github.io
microsoft,cocos2d-x-3rd-party-libs-bin,C,public,637376,9,5,0,2014-06-11T15:22:36Z,2025-11-25T19:27:42Z,v3,https://github.com/microsoft/cocos2d-x-3rd-party-libs-bin
microsoft,TypeScript,TypeScript,public,2960270,110058,13692,5072,2014-06-17T15:28:39Z,2026-08-04T12:07:32Z,main,https://github.com/microsoft/TypeScript
microsoft,recorder,C#,public,6906,11,11,0,2014-06-23T07:59:41Z,2023-01-28T10:36:26Z,master,https://github.com/microsoft/recorder
microsoft,activities,C#,public,986,23,18,1,2014-06-23T10:18:38Z,2025-11-25T19:22:08Z,master,https://github.com/microsoft/activities
microsoft,steps,C#,public,802,34,111,1,2014-06-23T11:24:04Z,2025-12-05T13:03:38Z,master,https://github.com/microsoft/steps
microsoft,o365-moodle,PHP,public,23439,207,151,263,2014-07-10T18:12:49Z,2026-07-30T10:27:17Z,master,https://github.com/microsoft/o365-moodle
microsoft,TypeScriptSamples,TypeScript,public,1174,3184,1734,36,2014-07-14T18:40:34Z,2026-07-23T12:48:57Z,master,https://github.com/microsoft/TypeScriptSamples
microsoft,lumia-sensorcore-simulation,,public,183,6,13,1,2014-07-15T07:16:44Z,2025-11-25T19:28:25Z,master,https://github.com/microsoft/lumia-sensorcore-simulation
microsoft,opencv_contrib,C++,public,2153,10,16,2,2014-07-16T14:59:24Z,2025-11-25T19:30:26Z,master,https://github.com/microsoft/opencv_contrib
microsoft,Win2D,C++,public,51309,1895,305,204,2014-07-18T07:54:58Z,2026-07-28T19:38:33Z,winappsdk/main,https://github.com/microsoft/Win2D
microsoft,winstore-jscompat,JavaScript,public,438,140,53,19,2014-07-21T18:03:55Z,2025-02-24T13:01:30Z,master,https://github.com/microsoft/winstore-jscompat
microsoft,windows-phone-callout-project,HTML,public,18,11,11,2,2014-07-22T07:34:19Z,2024-08-11T07:42:38Z,master,https://github.com/microsoft/windows-phone-callout-project
microsoft,ApplicationInsights-node.js,TypeScript,public,4442,331,145,5,2014-08-05T00:27:13Z,2026-07-31T21:36:12Z,main,https://github.com/microsoft/ApplicationInsights-node.js
microsoft,dotnet-samples,C#,public,3864,712,190,23,2014-08-14T22:58:03Z,2026-07-04T10:58:09Z,master,https://github.com/microsoft/dotnet-samples
microsoft,activate-sensorcore,C#,public,308,17,15,0,2014-08-20T08:43:06Z,2025-11-25T19:28:12Z,master,https://github.com/microsoft/activate-sensorcore
microsoft,cpprestsdk,C++,public,11087,8266,1686,861,2014-08-21T20:57:45Z,2026-08-02T09:08:41Z,master,https://github.com/microsoft/cpprestsdk
microsoft,diskspd,C++,public,13469,1400,236,61,2014-09-12T10:27:46Z,2026-08-02T11:05:56Z,master,https://github.com/microsoft/diskspd
microsoft,StorScore,C++,public,43216,83,34,35,2014-09-12T20:55:36Z,2025-07-14T05:28:20Z,master,https://github.com/microsoft/StorScore
microsoft,java-example-fraud-score,Java,public,315,11,13,3,2014-09-23T02:55:31Z,2025-11-25T19:28:23Z,master,https://github.com/microsoft/java-example-fraud-score
microsoft,openssl,C,public,161920,135,54,17,2014-09-26T20:23:13Z,2025-11-25T19:29:06Z,please_use_vcpkg,https://github.com/microsoft/openssl
microsoft,TestEasy,C#,public,11636,28,10,9,2014-10-01T21:12:51Z,2026-01-16T08:01:01Z,master,https://github.com/microsoft/TestEasy
microsoft,RoslynClrHeapAllocationAnalyzer,C#,public,207,656,63,32,2014-10-12T08:13:32Z,2026-07-25T09:18:01Z,master,https://github.com/microsoft/RoslynClrHeapAllocationAnalyzer
microsoft,js-example-fraud-score,JavaScript,public,17576,12,14,1,2014-10-15T04:28:10Z,2025-11-25T19:30:19Z,master,https://github.com/microsoft/js-example-fraud-score
microsoft,hello-sensorcore,C#,public,224,9,12,0,2014-10-15T11:55:30Z,2025-11-25T19:24:04Z,master,https://github.com/microsoft/hello-sensorcore
microsoft,dotnet,HTML,public,3218,15089,2240,268,2014-10-23T21:58:29Z,2026-08-01T15:02:48Z,main,https://github.com/microsoft/dotnet
microsoft,QuickInject,C#,public,170,46,16,1,2014-10-25T15:32:52Z,2026-06-10T20:52:09Z,master,https://github.com/microsoft/QuickInject
microsoft,msopentech-tools-for-intellij,Java,public,124212,30,31,21,2014-10-27T22:56:27Z,2026-01-12T05:42:22Z,dev,https://github.com/microsoft/msopentech-tools-for-intellij
microsoft,js-client-library,JavaScript,public,8186,14,14,0,2014-10-30T00:01:55Z,2025-11-25T19:29:03Z,master,https://github.com/microsoft/js-client-library
microsoft,js-rbroker-framework,JavaScript,public,8249,14,10,3,2014-10-30T01:01:06Z,2025-11-25T19:29:30Z,master,https://github.com/microsoft/js-rbroker-framework
microsoft,Lumia-Imaging-SDK-Extras,C++,public,1995,26,16,2,2014-11-06T14:50:23Z,2025-11-25T19:27:39Z,master,https://github.com/microsoft/Lumia-Imaging-SDK-Extras
microsoft,referencesource,C#,public,43995,3439,1301,84,2014-11-12T05:41:28Z,2026-08-04T01:32:58Z,main,https://github.com/microsoft/referencesource
microsoft,ApplicationInsights-Python,Python,public,717,141,78,6,2014-11-19T19:17:48Z,2026-06-08T06:19:57Z,main,https://github.com/microsoft/ApplicationInsights-Python
microsoft,o365rwsclient,C#,public,32,19,11,5,2014-11-20T05:51:50Z,2025-11-25T19:30:26Z,master,https://github.com/microsoft/o365rwsclient
microsoft,o365tosplunkdataimportapp,C#,public,2433,16,13,2,2014-11-21T02:01:04Z,2024-08-09T14:06:44Z,master,https://github.com/microsoft/o365tosplunkdataimportapp
microsoft,java-client-library,Java,public,4260,11,16,5,2014-11-27T02:31:15Z,2025-11-25T19:29:38Z,master,https://github.com/microsoft/java-client-library
microsoft,java-rbroker-framework,Java,public,831,11,13,1,2014-11-28T03:02:39Z,2025-11-25T19:29:26Z,master,https://github.com/microsoft/java-rbroker-framework
microsoft,ApplicationInsights-PHP,PHP,public,198,110,95,14,2014-12-01T23:10:21Z,2025-11-25T19:21:38Z,master,https://github.com/microsoft/ApplicationInsights-PHP
microsoft,vso-agent,TypeScript,public,1717,133,56,1,2014-12-01T23:24:24Z,2026-01-09T13:04:30Z,master,https://github.com/microsoft/vso-agent
microsoft,ApplicationInsights-Java,Java,public,179551,325,219,81,2014-12-03T00:13:22Z,2026-08-02T00:04:51Z,main,https://github.com/microsoft/ApplicationInsights-Java
microsoft,ApplicationInsights-Ruby,Ruby,public,243,31,36,14,2014-12-04T06:06:05Z,2025-11-25T19:24:01Z,develop,https://github.com/microsoft/ApplicationInsights-Ruby
microsoft,azure-pipelines-tasks,TypeScript,public,780854,3646,2689,364,2014-12-06T11:11:46Z,2026-08-04T10:45:38Z,master,https://github.com/microsoft/azure-pipelines-tasks
microsoft,ApplicationInsights-Android,Java,public,2719,56,33,2,2014-12-08T20:10:47Z,2026-05-24T16:05:11Z,master,https://github.com/microsoft/ApplicationInsights-Android
microsoft,mwt-ds-explore,C++,public,89478,17,8,2,2014-12-10T03:00:36Z,2026-06-10T21:01:58Z,master,https://github.com/microsoft/mwt-ds-explore
microsoft,poshtools,C#,public,10354,137,18,136,2014-12-11T04:44:03Z,2026-01-04T17:45:41Z,dev,https://github.com/microsoft/poshtools
microsoft,kinect-ripple,C#,public,231164,102,41,3,2014-12-11T13:29:29Z,2026-06-11T12:03:37Z,master,https://github.com/microsoft/kinect-ripple
microsoft,dotnet-apiweb,C#,public,119,17,15,3,2014-12-11T22:13:00Z,2026-06-19T17:35:33Z,master,https://github.com/microsoft/dotnet-apiweb
microsoft,dotnet-apiport,C#,public,22761,997,184,0,2014-12-12T18:04:11Z,2026-06-26T16:43:57Z,dev,https://github.com/microsoft/dotnet-apiport
microsoft,bond,C++,public,18479,2623,331,141,2014-12-15T01:05:31Z,2026-07-29T21:26:04Z,master,https://github.com/microsoft/bond
microsoft,TypeScript-Sublime-Plugin,JavaScript,public,76952,1702,234,160,2014-12-15T22:30:20Z,2026-07-28T19:38:43Z,master,https://github.com/microsoft/TypeScript-Sublime-Plugin
microsoft,azure-chat-for-java,Java,public,30154,25,25,5,2014-12-17T20:08:26Z,2025-11-25T19:18:38Z,master,https://github.com/microsoft/azure-chat-for-java
microsoft,fog,Ruby,public,20169,8,12,2,2014-12-18T22:27:15Z,2025-11-25T19:29:33Z,master,https://github.com/microsoft/fog
microsoft,lumia-imaging-quickstart,C#,public,19310,16,13,1,2014-12-19T11:44:54Z,2025-11-25T19:27:50Z,master,https://github.com/microsoft/lumia-imaging-quickstart
microsoft,moodle-filter_oembed,PHP,public,157,9,12,0,2014-12-19T19:15:46Z,2025-11-25T19:29:04Z,master,https://github.com/microsoft/moodle-filter_oembed
microsoft,X-Mem,C++,public,67112,112,52,2,2014-12-30T23:01:07Z,2026-07-13T11:55:31Z,master,https://github.com/microsoft/X-Mem
microsoft,ApplicationInsights-WordPress,PHP,public,37,46,40,12,2015-01-05T18:18:58Z,2026-07-18T12:47:06Z,master,https://github.com/microsoft/ApplicationInsights-WordPress
microsoft,CodeContracts,C#,public,262524,896,153,213,2015-01-06T19:48:32Z,2026-06-22T14:02:11Z,master,https://github.com/microsoft/CodeContracts
microsoft,lis-tempest-old,Python,public,10328,6,3,0,2015-01-08T12:21:50Z,2025-11-25T19:30:02Z,LIS,https://github.com/microsoft/lis-tempest-old
microsoft,ApplicationInsights-iOS,Objective-C,public,7732,78,33,0,2015-01-08T17:33:19Z,2026-02-19T07:33:58Z,develop,https://github.com/microsoft/ApplicationInsights-iOS
microsoft,ConnectedServicesSdkSamples,C#,public,9359,14,13,6,2015-01-12T19:13:03Z,2025-11-25T19:23:10Z,master,https://github.com/microsoft/ConnectedServicesSdkSamples
microsoft,moodle-auth_oidc,PHP,public,1031,43,77,14,2015-01-19T02:33:14Z,2026-07-07T09:33:25Z,master,https://github.com/microsoft/moodle-auth_oidc
microsoft,moodle-block_onenote,PHP,public,122,11,10,0,2015-01-19T02:34:08Z,2025-11-25T19:28:39Z,master,https://github.com/microsoft/moodle-block_onenote
microsoft,moodle-local_msaccount,PHP,public,99,7,9,0,2015-01-19T02:34:55Z,2025-11-25T19:27:38Z,master,https://github.com/microsoft/moodle-local_msaccount
microsoft,moodle-local_o365,PHP,public,13809,33,64,5,2015-01-19T02:35:27Z,2026-07-07T09:33:48Z,master,https://github.com/microsoft/moodle-local_o365
microsoft,moodle-local_onenote,PHP,public,396,12,17,0,2015-01-19T02:35:55Z,2026-07-07T09:33:51Z,master,https://github.com/microsoft/moodle-local_onenote
microsoft,moodle-assignfeedback_onenote,PHP,public,201,11,15,0,2015-01-19T02:36:34Z,2026-07-07T09:34:04Z,master,https://github.com/microsoft/moodle-assignfeedback_onenote
microsoft,moodle-assignsubmission_onenote,PHP,public,227,12,17,0,2015-01-19T02:37:13Z,2026-07-07T09:34:04Z,master,https://github.com/microsoft/moodle-assignsubmission_onenote
microsoft,moodle-repository_office365,PHP,public,293,13,17,0,2015-01-19T02:37:41Z,2026-07-07T09:33:52Z,master,https://github.com/microsoft/moodle-repository_office365
microsoft,moodle-repository_onenote,PHP,public,94,13,11,0,2015-01-19T02:38:03Z,2025-11-25T19:27:49Z,master,https://github.com/microsoft/moodle-repository_onenote
microsoft,moodle-block_skypeweb,CSS,public,242,7,11,0,2015-01-19T02:38:33Z,2024-07-19T23:11:35Z,block_skypeweb_master,https://github.com/microsoft/moodle-block_skypeweb
microsoft,moodle-profilefield_oidc,PHP,public,33,7,8,0,2015-01-19T02:39:02Z,2025-11-25T19:28:57Z,master,https://github.com/microsoft/moodle-profilefield_oidc
microsoft,moodle-local_office365,PHP,public,164,15,20,0,2015-01-19T02:39:36Z,2026-07-07T09:33:49Z,master,https://github.com/microsoft/moodle-local_office365
microsoft,moodle-local_microsoftservices,PHP,public,55,12,7,0,2015-01-19T02:40:02Z,2026-06-25T03:13:52Z,master,https://github.com/microsoft/moodle-local_microsoftservices
microsoft,llvm,LLVM,public,885330,186,74,13,2015-01-22T22:44:45Z,2026-05-06T19:13:33Z,master,https://github.com/microsoft/llvm
microsoft,clang,C++,public,161105,237,72,4,2015-01-22T23:40:20Z,2026-08-03T15:53:11Z,master,https://github.com/microsoft/clang
microsoft,TypeScript-wiki,JavaScript,public,5217,753,314,20,2015-01-22T23:52:38Z,2026-07-28T07:27:11Z,main,https://github.com/microsoft/TypeScript-wiki
microsoft,compiler-rt,C,public,8749,31,20,2,2015-01-23T00:03:17Z,2026-07-13T11:55:33Z,master,https://github.com/microsoft/compiler-rt
microsoft,test-suite,Logos,public,203421,39,36,3,2015-01-23T00:09:37Z,2026-06-10T21:02:42Z,master,https://github.com/microsoft/test-suite
microsoft,Microsoft.IO.RecyclableMemoryStream,C#,public,7070,2138,212,4,2015-01-26T01:29:12Z,2026-07-31T01:37:02Z,master,https://github.com/microsoft/Microsoft.IO.RecyclableMemoryStream
microsoft,java-jasperreports-client-library,Java,public,461,5,9,1,2015-01-26T03:14:40Z,2026-06-10T21:03:09Z,master,https://github.com/microsoft/java-jasperreports-client-library
microsoft,deployr-cli,JavaScript,public,494,16,9,2,2015-01-29T13:25:50Z,2026-06-10T21:03:17Z,master,https://github.com/microsoft/deployr-cli
microsoft,TouchDevelop,TypeScript,public,39002,1359,189,14,2015-01-30T01:59:33Z,2026-07-27T11:32:07Z,master,https://github.com/microsoft/TouchDevelop
microsoft,Vipr,C#,public,2947,111,49,22,2015-01-30T20:47:10Z,2026-06-22T14:44:02Z,master,https://github.com/microsoft/Vipr
microsoft,docker,Go,public,143614,536,145,2,2015-01-31T00:05:16Z,2026-07-23T19:30:18Z,master,https://github.com/microsoft/docker
microsoft,DACExtensions,C#,public,765,127,40,12,2015-01-31T23:43:10Z,2026-07-06T07:05:16Z,master,https://github.com/microsoft/DACExtensions
microsoft,dotnet-client-library,C#,public,518,8,12,6,2015-02-03T02:18:09Z,2025-11-25T19:28:10Z,master,https://github.com/microsoft/dotnet-client-library
microsoft,dotnet-rbroker-framework,C#,public,505,8,13,5,2015-02-03T02:22:32Z,2026-06-10T21:03:56Z,master,https://github.com/microsoft/dotnet-rbroker-framework
microsoft,deployr-rserve,Java,public,20768,31,19,5,2015-02-05T19:58:14Z,2026-06-10T21:04:03Z,master,https://github.com/microsoft/deployr-rserve
microsoft,uuid-validate,JavaScript,public,11,59,12,7,2015-02-08T22:38:10Z,2026-03-17T07:53:03Z,master,https://github.com/microsoft/uuid-validate
microsoft,elasticsearch,Java,public,88522,33,11,1,2015-02-10T23:56:31Z,2025-11-25T19:23:41Z,master,https://github.com/microsoft/elasticsearch
microsoft,spark,Scala,public,125937,43,30,0,2015-02-11T03:11:24Z,2025-04-27T14:12:04Z,master,https://github.com/microsoft/spark
microsoft,ApplicationInsights-CPP,C++,public,201,32,22,5,2015-02-16T19:34:49Z,2025-11-25T19:29:05Z,master,https://github.com/microsoft/ApplicationInsights-CPP
microsoft,clang-tools-extra,C++,public,3480,48,20,5,2015-02-17T00:08:13Z,2025-11-25T19:28:28Z,master,https://github.com/microsoft/clang-tools-extra
microsoft,Incast,C++,public,135,14,7,1,2015-02-17T16:05:39Z,2025-11-25T19:23:14Z,master,https://github.com/microsoft/Incast
microsoft,cordova-samples,JavaScript,public,34540,342,706,24,2015-02-17T19:36:06Z,2026-05-08T02:13:34Z,master,https://github.com/microsoft/cordova-samples
microsoft,azure-activedirectory-interactive-auth-library-for-java,HTML,public,33118,10,15,2,2015-02-18T18:55:03Z,2023-01-27T20:20:04Z,master,https://github.com/microsoft/azure-activedirectory-interactive-auth-library-for-java
microsoft,automatic-graph-layout,C#,public,148757,1494,320,139,2015-02-22T23:21:05Z,2026-07-30T11:39:06Z,master,https://github.com/microsoft/automatic-graph-layout
microsoft,mail2bug,C#,public,584,175,104,45,2015-02-23T17:23:14Z,2026-03-17T03:09:45Z,master,https://github.com/microsoft/mail2bug
microsoft,ngconf2015demo,CSS,public,3562,394,111,9,2015-02-23T18:50:51Z,2026-02-10T05:33:21Z,master,https://github.com/microsoft/ngconf2015demo
microsoft,Windows-Driver-Frameworks,C,public,2382,1316,369,7,2015-02-24T20:46:26Z,2026-07-23T09:59:31Z,main,https://github.com/microsoft/Windows-Driver-Frameworks
microsoft,IEDiagnosticsAdapter,C++,public,569,572,42,10,2015-02-25T18:06:05Z,2025-11-25T19:22:19Z,master,https://github.com/microsoft/IEDiagnosticsAdapter
microsoft,SimpleActivity,C#,public,601,7,10,1,2015-03-02T14:45:07Z,2023-01-27T20:20:04Z,master,https://github.com/microsoft/SimpleActivity
microsoft,SimplePlaces,C#,public,601,5,10,1,2015-03-02T14:46:17Z,2023-01-27T20:19:54Z,master,https://github.com/microsoft/SimplePlaces
microsoft,SimpleSteps,C#,public,628,10,10,0,2015-03-02T14:48:03Z,2025-11-08T10:10:36Z,master,https://github.com/microsoft/SimpleSteps
microsoft,SimpleTracks,C#,public,624,9,9,0,2015-03-02T14:48:42Z,2023-01-27T20:20:02Z,master,https://github.com/microsoft/SimpleTracks
microsoft,cocos2d-x-3rd-party-libs-src,Perl,public,535,7,5,0,2015-03-05T22:33:51Z,2025-11-25T19:28:28Z,v3,https://github.com/microsoft/cocos2d-x-3rd-party-libs-src
